@1200	5A		
SIM_2_60	ARISEL	20:23.5	
SIM_2_60	AZP-TABU	27:13.7	
SIM_2_60	AZP	00:45.4	
SIM_2_60	AZP-SA	06:58.2	
SIM_2_61	ARISEL	32:26.5	
SIM_2_61	AZP-TABU	53:26.5	
SIM_2_61	AZP	02:20.5	
SIM_2_61	AZP-SA	04:51.6	
SIM_2_62	ARISEL	19:22.9	
SIM_2_62	AZP-TABU	24:43.5	
SIM_2_62	AZP	00:49.6	
SIM_2_62	AZP-SA	15:12.0	
SIM_2_63	ARISEL	20:49.1	
SIM_2_63	AZP-TABU	01:08.8	
SIM_2_63	AZP	00:44.3	
SIM_2_63	AZP-SA	05:47.9	
SIM_2_64	ARISEL	22:56.6	
SIM_2_64	AZP-TABU	25:53.1	
SIM_2_64	AZP	00:43.0	
SIM_2_64	AZP-SA	05:31.1	
SIM_2_65	ARISEL	24:13.3	
SIM_2_65	AZP-TABU	28:08.4	
SIM_2_65	AZP	00:37.6	
SIM_2_65	AZP-SA	06:03.0	
SIM_2_66	ARISEL	18:15.3	
SIM_2_66	AZP-TABU	27:08.6	
SIM_2_66	AZP	01:03.8	
SIM_2_66	AZP-SA	06:53.9	
SIM_2_67	ARISEL	23:52.0	
SIM_2_67	AZP-TABU	33:34.1	
SIM_2_67	AZP	01:30.6	
SIM_2_67	AZP-SA	06:51.3	
SIM_2_68	ARISEL	19:16.0	
SIM_2_68	AZP-TABU	16:42.8	
SIM_2_68	AZP	00:50.5	
SIM_2_68	AZP-SA	05:03.4	
SIM_2_69	ARISEL	24:10.1	
SIM_2_69	AZP-TABU	18:42.3	
SIM_2_69	AZP	00:28.5	
SIM_2_69	AZP-SA	05:49.6	
SIM_3_60	ARISEL	16:19.1	
SIM_3_60	AZP-TABU	28:41.4	
SIM_3_60	AZP	00:26.8	
SIM_3_60	AZP-SA	13:45.3	
SIM_3_61	ARISEL	16:48.8	
SIM_3_61	AZP-TABU	08:26.8	
SIM_3_61	AZP	00:32.6	
SIM_3_61	AZP-SA	06:17.5	
SIM_3_62	ARISEL	16:34.3	
SIM_3_62	AZP-TABU	38:40.9	
SIM_3_62	AZP	00:56.5	
SIM_3_62	AZP-SA	06:01.7	
SIM_3_63	ARISEL	16:38.0	
SIM_3_63	AZP-TABU	18:47.2	
SIM_3_63	AZP	00:26.0	
SIM_3_63	AZP-SA	08:53.1	
SIM_3_64	ARISEL	35:28.3	
SIM_3_64	AZP-TABU	12:24.6	
SIM_3_64	AZP	00:48.3	
SIM_3_64	AZP-SA	11:03.1	
SIM_3_65	ARISEL	16:27.6	
SIM_3_65	AZP-TABU	39:48.0	
SIM_3_65	AZP	00:44.6	
SIM_3_65	AZP-SA	02:07.1	
SIM_3_66	ARISEL	16:29.7	
SIM_3_66	AZP-TABU	36:18.6	
SIM_3_66	AZP	01:17.5	
SIM_3_66	AZP-SA	06:27.7	
SIM_3_67	ARISEL	15:19.5	
SIM_3_67	AZP-TABU	31:48.9	
SIM_3_67	AZP	00:47.7	
SIM_3_67	AZP-SA	09:27.4	
SIM_3_68	ARISEL	15:44.3	
SIM_3_68	AZP-TABU	30:17.6	
SIM_3_68	AZP	00:32.9	
SIM_3_68	AZP-SA	05:26.6	
SIM_3_69	ARISEL	16:06.8	
SIM_3_69	AZP-TABU	15:00.1	
SIM_3_69	AZP	00:27.3	
SIM_3_69	AZP-SA	05:09.8	
SIM_4_60	ARISEL	14:55.1	
SIM_4_60	AZP-TABU	29:17.2	
SIM_4_60	AZP	00:24.7	
SIM_4_60	AZP-SA	06:38.5	
SIM_4_61	ARISEL	15:04.6	
SIM_4_61	AZP-TABU	12:16.1	
SIM_4_61	AZP	01:29.7	
SIM_4_61	AZP-SA	04:35.4	
SIM_4_62	ARISEL	15:21.5	
SIM_4_62	AZP-TABU	46:30.9	
SIM_4_62	AZP	00:40.4	
SIM_4_62	AZP-SA	05:04.1	
SIM_4_63	ARISEL	15:13.2	
SIM_4_63	AZP-TABU	28:34.7	
SIM_4_63	AZP	00:49.3	
SIM_4_63	AZP-SA	05:28.5	
SIM_4_64	ARISEL	15:05.4	
SIM_4_64	AZP-TABU	12:24.8	
SIM_4_64	AZP	00:48.1	
SIM_4_64	AZP-SA	05:11.2	
SIM_4_65	ARISEL	15:09.7	
SIM_4_65	AZP-TABU	12:17.4	
SIM_4_65	AZP	00:34.6	
SIM_4_65	AZP-SA	06:44.9	
SIM_4_66	ARISEL	15:06.6	
SIM_4_66	AZP-TABU	33:04.0	
SIM_4_66	AZP	00:35.1	
SIM_4_66	AZP-SA	06:42.5	
SIM_4_67	ARISEL	17:09.0	
SIM_4_67	AZP-TABU	15:11.7	
SIM_4_67	AZP	00:41.9	
SIM_4_67	AZP-SA	06:38.6	
SIM_4_68	ARISEL	15:11.6	
SIM_4_68	AZP-TABU	12:15.4	
SIM_4_68	AZP	00:24.9	
SIM_4_68	AZP-SA	08:04.9	
SIM_4_69	ARISEL	15:32.6	
SIM_4_69	AZP-TABU	34:07.7	
SIM_4_69	AZP	01:06.1	
SIM_4_69	AZP-SA	05:39.9	
SIM_2_0	geoSOM	00:40.4	
SIM_2_1	geoSOM	00:40.5	
SIM_2_2	geoSOM	00:40.1	
SIM_2_3	geoSOM	00:40.4	
SIM_2_4	geoSOM	00:40.3	
SIM_2_5	geoSOM	00:40.5	
SIM_2_6	geoSOM	00:40.4	
SIM_2_7	geoSOM	00:40.5	
SIM_2_8	geoSOM	00:40.3	
SIM_2_9	geoSOM	00:40.3	
SIM_3_0	geoSOM	00:40.0	
SIM_3_1	geoSOM	00:40.6	
SIM_3_2	geoSOM	00:40.2	
SIM_3_3	geoSOM	00:40.1	
SIM_3_4	geoSOM	00:39.8	
SIM_3_5	geoSOM	00:40.7	
SIM_3_6	geoSOM	00:40.4	
SIM_3_7	geoSOM	00:40.3	
SIM_3_8	geoSOM	00:40.0	
SIM_3_9	geoSOM	00:40.4	
SIM_4_0	geoSOM	00:40.2	
SIM_4_1	geoSOM	00:40.3	
SIM_4_2	geoSOM	00:41.2	
SIM_4_3	geoSOM	00:40.5	
SIM_4_4	geoSOM	00:40.0	
SIM_4_5	geoSOM	00:40.2	
SIM_4_6	geoSOM	00:40.1	
SIM_4_7	geoSOM	00:40.4	
SIM_4_8	geoSOM	00:40.0	
SIM_4_9	geoSOM	00:40.5	
			
@1200 10A			
SIM_2_0	ARISEL	14:46.7	
SIM_2_0	AZP-TABU	31:53.7	
SIM_2_0	AZP	00:38.5	
SIM_2_0	AZP-SA	04:28.9	
SIM_2_1	ARISEL	13:30.2	
SIM_2_1	AZP-TABU	34:47.8	
SIM_2_1	AZP	02:11.4	
SIM_2_1	AZP-SA	05:12.8	
SIM_2_2	ARISEL	20:44.8	
SIM_2_2	AZP-TABU	49:07.3	
SIM_2_2	AZP	01:08.6	
SIM_2_2	AZP-SA	06:20.6	
SIM_2_3	ARISEL	15:52.1	
SIM_2_3	AZP-TABU	11:51.9	
SIM_2_3	AZP	01:03.1	
SIM_2_3	AZP-SA	05:58.8	
SIM_2_4	ARISEL	16:03.6	
SIM_2_4	AZP-TABU	36:18.4	
SIM_2_4	AZP	00:43.8	
SIM_2_4	AZP-SA	05:47.5	
SIM_2_5	ARISEL	14:22.9	
SIM_2_5	AZP-TABU	30:25.8	
SIM_2_5	AZP	00:35.0	
SIM_2_5	AZP-SA	06:18.3	
SIM_2_6	ARISEL	12:18.8	
SIM_2_6	AZP-TABU	20:01.0	
SIM_2_6	AZP	00:44.4	
SIM_2_6	AZP-SA	05:33.1	
SIM_2_7	ARISEL	25:58.0	
SIM_2_7	AZP-TABU	15:53.0	
SIM_2_7	AZP	01:46.0	
SIM_2_7	AZP-SA	06:14.2	
SIM_2_8	ARISEL	13:12.9	
SIM_2_8	AZP-TABU	19:02.5	
SIM_2_8	AZP	00:58.5	
SIM_2_8	AZP-SA	06:16.4	
SIM_2_9	ARISEL	11:37.0	
SIM_2_9	AZP-TABU	24:54.2	
SIM_2_9	AZP	01:37.7	
SIM_2_9	AZP-SA	09:38.6	
SIM_3_0	ARISEL	11:06.6	
SIM_3_0	AZP-TABU	21:08.5	
SIM_3_0	AZP	00:47.0	
SIM_3_0	AZP-SA	05:22.6	
SIM_3_1	ARISEL	11:01.6	
SIM_3_1	AZP-TABU	10:17.2	
SIM_3_1	AZP	00:48.5	
SIM_3_1	AZP-SA	04:46.2	
SIM_3_2	ARISEL	19:00.4	
SIM_3_2	AZP-TABU	38:52.8	
SIM_3_2	AZP	03:12.9	
SIM_3_2	AZP-SA	05:08.5	
SIM_3_3	ARISEL	09:49.5	
SIM_3_3	AZP-TABU	08:39.7	
SIM_3_3	AZP	00:26.4	
SIM_3_3	AZP-SA	05:25.0	
SIM_3_4	ARISEL	11:17.8	
SIM_3_4	AZP-TABU	17:45.7	
SIM_3_4	AZP	01:39.9	
SIM_3_4	AZP-SA	05:07.3	
SIM_3_5	ARISEL	11:41.5	
SIM_3_5	AZP-TABU	11:24.6	
SIM_3_5	AZP	00:39.8	
SIM_3_5	AZP-SA	05:41.3	
SIM_3_6	ARISEL	09:25.1	
SIM_3_6	AZP-TABU	22:28.8	
