Size k nRow nCol ClusType MeanSep SimNum SSE SSR RSQ FSTAT Calinski-Harabasz Fowlkes-Mallows Mutual-Information Homogeneity Completeness V-measure Adjusted-Rand Adjusted-Mutual-Info
120 5 1 5 A 2 0 163.22640678138055 1130.239823539563 0.8555825025964793 170.32560037319348 170.32560037319354 0.6926509882009179 1.0836259072279892 0.6732946321546028 0.7773124862199419 0.7215741848352142 0.5917405391181356 0.6577613204403636
120 5 5 1 A 2 0 782.7489961116908 1130.239823539563 0.3074487557336619 12.763173556502139 12.763173556502139 0.23543647268039067 0.20760446541563507 0.12899190693330684 0.1340307707857626 0.13146307277627575 0.038643194504079006 0.08815173227439282
120 5 1 5 A 2 1 486.6099830604664 1052.6950836497253 0.537748403485105 33.44556669302622 33.44556669302622 0.7205233768207947 1.2083613444182955 0.7507971168585063 0.812180844300257 0.7802836014607121 0.6355506553963004 0.7390074163151384
120 5 5 1 A 2 1 701.5258269109102 1052.6950836497253 0.3335906685545646 14.391652800151414 14.391652800151403 0.23391479579027902 0.21148341746694735 0.13140203535226883 0.13541446476918012 0.13337808028145973 0.03948752862536361 0.09084280324584977
120 5 1 5 A 2 2 532.0244342911963 1129.4633718047644 0.5289582224865984 32.28492592901069 43.42088588713322 0.6822391437899609 1.0320187197190653 0.6412292836809399 0.8016265069527776 0.7125124966331081 0.5654302302578901 0.6289057646718297
120 5 5 1 A 2 2 772.0074582630108 1129.4633718047644 0.316482962143851 13.311862993458607 13.311862993458606 0.23030224704331048 0.19827911885765684 0.12319774333995973 0.12996092793513556 0.1264889957221933 0.02808376709841426 0.08169003831121853
120 5 1 5 A 2 3 285.0859508765489 1095.5360045310272 0.7397749141082887 81.73127778105095 109.92264605915253 0.631595893874188 0.9442469196935477 0.5866935980559056 0.7538822405796619 0.6598625329340542 0.4949333793281877 0.5722960775867761
120 5 5 1 A 2 3 715.0467298770366 1095.5360045310272 0.3473087813456838 15.29839406185855 15.298394061858549 0.2514562398307669 0.2730887710785579 0.16967959370706062 0.17645198116454827 0.17299953339369437 0.058346185445163505 0.1307423864124299
120 5 1 5 A 2 4 128.30716907631344 1109.9065717199694 0.8843982256294942 219.94860481428017 219.94860481428023 0.7989788247022631 1.2955238705485317 0.8049542393276871 0.8355733311695697 0.8199780452214317 0.7460704391415366 0.7958007808692701
120 5 5 1 A 2 4 726.2288093229207 1109.9065717199696 0.34568473795274646 15.189063732130588 15.189063732130585 0.23249495515035118 0.21066116806543367 0.13089114307418764 0.137026226675964 0.1338884407344367 0.03325630463176931 0.08990444534515776
120 5 1 5 A 2 5 368.6368845754704 1189.6695308631347 0.6901350543053623 64.03235695731853 86.11888008172697 0.6599872908741002 1.0105324962751665 0.6278791424434919 0.8252505687612995 0.713160862955921 0.524814603536794 0.6147975806983021
120 5 5 1 A 2 5 769.4587129625723 1189.6695308631345 0.3532164243928218 15.700726772105318 15.700726772105321 0.24522978445622237 0.2523960599033555 0.1568224893631553 0.1610696088275059 0.15891767779600113 0.055261722710452425 0.11746916145940917
120 5 1 5 A 2 6 364.1633853093293 1142.192127320649 0.6811715151954489 61.42387520322843 61.42387520322841 0.721654673552337 1.1374629373651222 0.7067454597517422 0.847448172708993 0.7707278371597914 0.6240740321594976 0.6939963648533884
