Size k SimNum SSE SSR RSQ FSTAT Calinski-Harabasz Fowlkes-Mallows Mutual-Information Homogeneity Completeness V-measure Adjusted-Rand Adjusted-Mutual-Info
900 5 0 137249.7082442982 408942.2078349139 0.6643787175431288 442.9240510675239 442.9240510675235 nan 0.7101666233697077 0.7227249272206411 0.9372207305390168 0.8161144084471714 0.7537579356827908 0.7202902387100639
900 5 1 100626.85261644253 392614.99330415006 0.7437009428254586 649.25360159977 649.2536015997699 nan 0.773889503017052 0.787574656903644 0.9048991274015091 0.8421703501756042 0.8291143039393954 0.7854672005180359
900 5 2 132407.91311679772 431911.31289921614 0.6934372655626774 506.1169240104464 506.11692401044644 12.37620292185338 0.7393487355337358 0.7524230842388034 0.9167007242516313 0.8264776797943687 0.792785692985072 0.7499374204243173
900 5 3 110856.16141598014 414043.4268920794 0.7322595790299193 611.9474983056575 611.9474983056577 11.22419292158752 0.7830740199702462 0.79692158919829 0.6868197900025877 0.7377856090210122 0.5784448006904657 0.6842485317519482
900 5 4 105392.4713884716 428298.6959335191 0.7539276388438252 685.5353782875377 685.535378287537 nan 0.7888561604966333 0.8028059787958806 0.7105443286939 0.753862780417508 0.6044318493148613 0.7080994085157266
900 5 5 109747.78954187686 409697.7078496043 0.7321249608207129 611.5275259894428 611.5275259894429 16.891177849540256 0.7760958717271227 0.7898200421596301 0.8288044592039151 0.8088427826949101 0.7564569055745903 0.787760173682372
900 5 6 106656.85841887827 419314.4875336103 0.7456399394968933 655.9085421368351 655.9085421368355 nan 0.6826377919091792 0.6947092868637692 0.8219979986885809 0.7530123299492509 0.7842909669599052 0.6918329866178509
900 5 7 103057.74185684293 444893.85214970214 0.768354313374137 742.1648126569023 742.1648126569025 9.591843582735288 0.7778423789658658 0.7915974339371001 0.8905705610431847 0.838172373942914 0.8271393796141068 0.7895510918376635
900 5 8 183055.43122757832 387510.77855779 0.5276120269251323 249.90727485305467 249.9072748530546 10.219887350681633 0.5502340257356413 0.5599641451990467 0.8226278933749122 0.6663456931311327 0.6206822352284797 0.5556536739086275
900 5 9 179130.3247076149 431839.4133325572 0.5851922747735219 315.6565404105871 315.65654041058724 12.57344611436422 0.6437029272445016 0.6550859135522984 0.767521592087616 0.7068605800693639 0.6515285592901613 0.652214814638441
900 5 10 141220.86203124418 414968.22701859183 0.6596827110213499 433.72467803211435 433.72467803211447 nan 0.6974955369186208 0.709829770321102 0.914089166757371 0.7991134144413733 0.7511963955079736 0.7069102015897358
900 5 11 62837.41385656089 415312.32693608 0.8486984137452966 1255.0844626032929 1255.084462603293 18.93214564994219 0.8298917326054966 0.8445672076256902 0.8685442241551927 0.8563879225668459 0.922783208881502 0.8430327335760555
900 5 12 147581.16593654695 436357.48151788954 0.6617883909697638 437.81806574902845 437.8180657490282 nan 0.7133110626064209 0.7259249714690176 0.8133294367696726 0.7671456323552484 0.6823436138124368 0.7232180266136945
900 5 13 249838.73943651095 406873.4778146147 0.385954717966783 140.63680753172235 140.6368075317224 nan 0.437301262455067 0.44503432389105696 0.8612205874115663 0.586826841412689 0.4638488159929179 0.43932567222840074
900 5 14 101398.86789247434 432644.4542921675 0.7656300297241322 730.9371544022152 730.9371544022151 6.3241546459909985 0.7972125006293885 0.8113100891208914 0.612109582902095 0.6977712757759761 0.4477890755758186 0.6093201323264875
900 5 15 102741.18226978436 404349.0708450923 0.7459096862642601 656.8424031905657 656.842403190566 12.003804510956332 0.7803771381044917 0.794177016747248 0.72346542444681 0.7571738861689902 0.6363933383332937 0.7210562526068942
900 5 16 121187.61284914744 405786.79042784276 0.701351508457501 525.4585389226198 525.4585389226194 nan 0.7400443378466892 0.7531309873061405 0.8806514503486518 0.8119145866517196 0.7849671032837793 0.7506924751942494
900 5 17 123505.06722675405 427343.8814696746 0.7109937158758215 550.4546186921681 550.4546186921681 nan 0.7433016114825499 0.7564458612722598 0.886064816415829 0.816140890042969 0.788117634582474 0.7540415867322466
900 5 18 265300.61525809084 429882.97815466335 0.3828538724726129 138.80594910148835 138.80594910148835 nan 0.44108326324417346 0.4488832040765066 0.8176425144625558 0.5795792162901958 0.43197473706502565 0.443605973015183
900 5 19 51241.02418147359 412203.1225772433 0.8756898689629129 1576.1837474211627 1576.1837474211634 nan 0.9613616313671408 0.978361967738979 0.9672672275425823 0.9727829643623728 0.9820868145936932 0.9669541487580078
900 5 20 114377.7341659978 423485.2714161276 0.7299133124901356 604.6877214698076 604.6877214698072 nan 0.7738895030170518 0.7875746569036439 0.9126693533857074 0.8455201118301754 0.830154267275788 0.7854711767568067
900 5 21 98559.28597300877 399666.6508947853 0.7533962722374975 683.5761058546839 683.5761058546838 9.12370788738257 0.7761266778740665 0.7898513930702126 0.8950284698464853 0.8391571402865048 0.8275760535854517 0.7877792586068578
900 5 22 46555.96982904578 374863.43524158944 0.8758055188843861 1577.8598460261596 1577.8598460261592 nan 0.9555379445602028 0.9724352971729519 0.9590283083451857 0.965685271375067 0.9785777716720916 0.9586374990483559
900 5 23 47676.977708503306 387841.2820453926 0.8770709052500418 1596.4049474932267 1596.404947493227 nan 0.9613616313671409 0.9783619677389791 0.9672672275425823 0.9727829643623729 0.9820868145936932 0.9669541487580078
900 5 24 113098.78302004065 400183.0892647583 0.7173824030699725 567.9558330072689 567.9558330072687 nan 0.7502452860829532 0.7635123250500255 0.6830571591473975 0.7210473681629511 0.5549245646741354 0.6803393057483508
