Size k SimNum SSE SSR RSQ FSTAT Calinski-Harabasz Fowlkes-Mallows Mutual-Information Homogeneity Completeness V-measure Adjusted-Rand Adjusted-Mutual-Info
900 5 0 178674.92145615994 408942.207834914 0.5630802640741616 288.3577891477503 288.35778914775034 6.033298460895351 0.601715013611089 0.6123555023695457 0.5264565067169462 0.5661663840460736 0.3469903450598303 0.5229685040213025
900 5 1 189489.88257600315 392614.99330415006 0.5173646299615217 239.85050234644308 239.85050234644302 nan 0.5478222158894586 0.5575096858676835 0.9212585605628782 0.6946464693735118 0.6269185583311083 0.5544140097949123
900 5 2 243651.0492348217 431911.3128992162 0.4358771304245135 172.8834500290269 172.8834500290268 nan 0.48179768442809034 0.49031760287626297 0.8849788374539327 0.6310213412207393 0.5419797034429585 0.4860529984601352
900 5 3 132784.87848366456 414043.4268920795 0.6792972189405752 473.93649732582173 473.9364973258215 8.459080008076777 0.7211840696970387 0.7339372016827884 0.6521083943552719 0.6906073097667735 0.4975127944722137 0.6491397333513218
900 5 4 121861.9411387851 428298.6959335191 0.7154744053722251 562.6467397826426 562.646739782642 42.32580914451908 0.7452010405779642 0.7583788791156363 0.8919570938909539 0.8197620752966048 0.7893736387886664 0.7559878754554785
900 5 5 107607.50354041171 409697.7078496043 0.7373490222700653 628.1409845066945 628.140984506695 nan 0.7738895030170517 0.7875746569036438 0.907705821632912 0.8433838649037042 0.8295005586449519 0.7854672630691656
900 5 6 111875.83547269987 419314.48753361026 0.7331934888995877 614.8727123062673 614.8727123062678 nan 0.7755506450343636 0.7892651738950905 0.6082702383796365 0.6870473710408372 0.4667104128275511 0.6054059512586117
900 5 7 139512.0812241323 444893.85214970214 0.6864149042518395 489.7724314987633 489.77243149876324 10.82105434082876 0.7394148934203423 0.7524904120351393 0.9504676873321499 0.8399711325045341 0.7949513348819187 0.7504210540722039
900 5 8 137031.94975696687 387510.77855779 0.6463789981095168 408.9895680794311 408.98956807943114 nan 0.7101666233697077 0.7227249272206411 0.9372207305390168 0.8161144084471714 0.7537579356827908 0.7202902387100639
900 5 9 71788.17168108205 431839.4133325573 0.8337618812347766 1122.2108521917894 1122.2108521917896 nan 0.8819441941913873 0.8975401442202244 0.9315518620151144 0.9142297814778022 0.9319332262642247 0.8965384171416945
900 5 10 204661.64382899043 414968.22701859183 0.5068016525038169 229.92143084706225 229.92143084706234 5.748681892956723 0.5285760072577107 0.5379231349443913 0.4844753920084567 0.5098022244795761 0.3104820388999151 0.4798974344091884
900 5 11 218463.04594610794 415312.32693608 0.47397890267839027 201.6131672556264 201.61316725562642 nan 0.50813030673374 0.517115880791771 0.7751762396287887 0.6203797695431907 0.506632357591358 0.5121868729457822
900 5 12 210406.74582946597 436357.4815178894 0.517811072935987 240.27973490574595 240.27973490574598 nan 0.5317584590064497 0.5411618639029236 0.8056119458474583 0.6474234337510261 0.6188554590320773 0.5372417275212065
900 5 13 133511.79756901547 406873.47781461466 0.6718591777322778 458.1218818759092 458.1218818759093 nan 0.7314604907555581 0.7443953468802721 0.9212587511476782 0.8234371451299424 0.7913854483555053 0.7421599581886299
900 5 14 250062.5768502455 432644.45429216756 0.4220136780457224 163.36988761855173 163.36988761855162 12.010180548440774 0.48260567835885015 0.49113988505003264 0.866796829196756 0.6270078577108983 0.5330308753659311 0.4868116636264003
900 5 15 199207.53565600366 404349.0708450923 0.5073377187694321 230.41507113375732 230.4150711337573 27.202145307625564 0.5496801083343461 0.559400432542941 0.8399217307334881 0.6715431110937272 0.598811905426779 0.5556618695873047
900 5 16 154372.07493241504 405786.7904278427 0.6195734346856084 364.4055611530148 364.4055611530149 9.129780781191133 0.6884467734528457 0.7006209921245032 0.7319838537768192 0.7159591220418878 0.6753732757516118 0.6981600064020089
900 5 17 159897.48655860595 427343.88146967464 0.6258341502194816 374.24685121250195 374.2468512125019 32.939826979759985 0.6980324335084553 0.710376161176493 0.9671158685734389 0.8190990430309044 0.7307512732445964 0.7075667204085652
900 5 18 148215.14307069138 429882.97815466335 0.6552197909604913 425.214163643048 425.214163643048 nan 0.674662287179954 0.6865927464839542 0.7423611618045117 0.7133887048559506 0.5915569547092515 0.68352522550937
900 5 19 207232.859232191 412203.12257724337 0.4972554842949854 221.3070677757236 221.30706777572365 nan 0.5042561544498886 0.5131732195412286 0.9077586328811829 0.6556787637743766 0.5541229310915754 0.5084611452640463
900 5 20 264953.25527932635 423485.27141612757 0.37435071969958444 133.8784781987807 133.87847819878075 nan 0.44766611039000637 0.45558245967064054 0.711923185704386 0.5556113879613453 0.3766711831408295 0.4509402865974199
900 5 21 121264.72257025017 399666.65089478536 0.696585336057539 513.6896381924097 513.6896381924091 12.038475198709817 0.7416047602808731 0.7547190036294475 0.8387054195910123 0.7944988282946245 0.7321419235360301 0.7522933462030207
900 5 22 125506.2489132408 374863.43524158956 0.6651947426337932 444.54894416880194 444.54894416880177 nan 0.6535774435303476 0.6651350468531068 0.7064032467437921 0.6851482876032783 0.6268242248767493 0.66186051094566
900 5 23 206171.21467274716 387841.2820453926 0.46841343555424547 197.15981030208573 197.15981030208584 nan 0.5042561544498887 0.5131732195412287 0.9628254324721859 0.6695076941485404 0.5570098707817344 0.5094105017739967
900 5 24 185104.9153098789 400183.08926475816 0.5374494318339003 259.98089430440916 259.98089430440905 nan 0.5483637060962534 0.5580607515717285 0.8747638969355844 0.6814112226227448 0.6256720229241701 0.554141346983585
