Size k ClusType MeanSep SimNum SSE SSR RSQ FSTAT Calinski-Harabasz Fowlkes-Mallows Mutual-Information Homogeneity Completeness V-measure Adjusted-Rand Adjusted-Mutual-Info
120 5 A 2 0 92.08208125671133 1130.2398235395633 0.9185287234276186 324.1351051506193 324.1351051506192 0.6852915481230261 1.0879695663019247 0.6759934992810557 0.7622748700796345 0.7165461854218371 0.5918141441749231 0.6611656719655365
120 5 A 2 1 109.05868164339064 1052.6950836497253 0.8964005025412668 248.76099865568352 248.76099865568352 0.6744570974473162 1.0587615378669997 0.6578455308448263 0.7257943229933229 0.6901514875699073 0.5820786536388609 0.6417685963132184
120 5 A 2 2 157.7468499932337 1129.4633718047644 0.8603346917384574 177.09925747030653 177.09925747030647 0.7941220884697265 1.2622023119875498 0.7842503909197751 0.9325681836251367 0.8520026209073679 0.7164202269207264 0.774946473183813
120 5 A 2 3 81.37742667737264 1095.5360045310272 0.9257190760131992 358.2941892336812 358.2941892336812 0.8651997328506501 1.3899636667171693 0.8636329838999507 0.8649183670998007 0.8642751975823497 0.8327990627978197 0.857350750145891
120 5 A 2 4 160.91907343849567 1109.9065717199696 0.8550156584899511 169.54727610969167 169.54727610969164 0.7997136753507994 1.3047304445891164 0.810674605406712 0.8909381098212746 0.8489133798279044 0.7376005212530649 0.8016142917018556
120 5 A 2 5 178.77502326688725 1189.6695308631345 0.8497271564674086 162.5686662616433 162.56866626164333 0.8048030240430332 1.2914930223563883 0.802449732530002 0.8783116721204982 0.8386686705453352 0.7451749833620116 0.7930039723524578
120 5 A 2 6 158.1621780589037 1142.1921273206488 0.8615275186409137 178.87248006118713 178.8724800611871 0.8079554077525166 1.332179040210122 0.8277293767706427 0.9366429064744041 0.8788245616812665 0.740795834882856 0.819488749015243
120 5 A 2 7 170.60261426307164 1146.8077024987065 0.8512369476666781 164.51035295096054 164.51035295096062 0.6952165937536172 1.0845226044963518 0.6738517814931607 0.8076917616872109 0.7347263399925797 0.5890754382407934 0.659719768883033
120 5 A 2 8 124.32658134097649 1118.7500420472898 0.8888700990674723 229.95625060176647 229.95625060176653 0.8018449491305947 1.332179040210122 0.8277293767706427 0.928653827521522 0.8752919659122368 0.733901417321785 0.8194524657458039
120 5 A 2 9 593.0946816003127 1075.6251974575632 0.44860469706157835 23.390451408978947 23.390451408978933 0.6883017091563596 1.1295270911132327 0.7018146412401493 0.8081128993784518 0.7512220941760842 0.5833257403189066 0.6872271564650339
120 5 A 2 10 145.96474321795972 1066.9598861090883 0.8631956598197394 181.40415126535822 181.40415126535825 0.7048777971389484 1.089570100910201 0.6769879673471495 0.8186760827356506 0.7411207846257352 0.5986854687559766 0.6629541060568961
120 5 A 2 11 169.0339917553676 1074.2379712506995 0.8426475359472101 153.96083438740882 153.9608343874089 0.6465010481353685 0.937767886342478 0.5826679482927092 0.7754349256422419 0.6653709167839009 0.5090023858823672 0.5642959183052858
120 5 A 2 12 158.15227320156214 1048.5021299174282 0.849163612844528 161.8538757767808 161.85387577678085 0.5328685670077253 0.7582147141984716 0.47110528982864225 0.6016259221981864 0.5284252966035864 0.3632205743117546 0.44588573443645313
120 5 A 2 13 297.26864373460086 1125.612971180428 0.7359051011797991 80.11238291021806 80.11238291021809 0.7814423676209548 1.256511125400153 0.7807142578739285 0.8970051066210365 0.8348293414799746 0.704435245416913 0.7703420293423495
120 5 A 2 14 182.39451937607856 990.1694759743493 0.8157946454604671 127.3258104554983 127.32581045549829 0.7177511948924558 1.0787499401630216 0.6702650234773764 0.9038660248710565 0.7697323332974518 0.5943794245941887 0.6551824870674802
120 5 A 2 15 122.26743939672144 1084.2467828141116 0.8872328317365332 226.20009267971614 226.20009267971614 0.8083741085478521 1.3220466679954574 0.8214337799437106 0.8743369903349645 0.84706017051754 0.7537968638204433 0.8129519246511226
120 5 A 2 16 83.88656667281566 1079.1819651146639 0.9222683760621383 341.11233586194743 341.1123358619473 0.7692286621661618 1.2466690166273768 0.774599011863667 0.787350351907544 0.7809226326077332 0.7117791705955221 0.7641482408000452
120 5 A 2 17 196.05121366970982 1078.938450464675 0.8182924951972238 129.47131304485748 129.47131304485754 0.6026263704354862 0.920200204543299 0.5717525338716521 0.6987711398159636 0.6289125941692464 0.45926993661978366 0.5518032518791449
120 5 A 2 18 509.4585231378452 1055.141286222998 0.5171655874053495 30.7942231333586 30.794223133358603 0.7089248317112637 1.1752045970807579 0.7301956714213278 0.8467447676623816 0.7841632427220773 0.6031151538659638 0.7170423710413374
120 5 A 2 19 124.74896784857589 1124.29779408237 0.8890427709587445 230.35884985520266 230.35884985520255 0.7839746595730877 1.241798584120123 0.7715728420004954 0.8887974857521802 0.8260470457490074 0.7142852318737315 0.7617714292364175
120 5 A 2 20 334.87010683204244 1043.9560887629564 0.6792297009073923 60.8779988556539 60.877998855653914 0.7233249584328026 1.07308279921744 0.6667438308288134 0.9216155699774485 0.7737310527659287 0.5981330462609311 0.6524578446035821
120 5 A 2 21 167.5518449268993 1081.0906991380448 0.8450159222898794 156.75292665401076 156.75292665401074 0.7163919669272631 1.125320215886144 0.6992007626962257 0.8342504444128139 0.7607787509754489 0.6187211199136928 0.6861512395318033
120 5 A 2 22 94.9442546780209 1060.9362666043585 0.9105089931727 292.51133138139585 292.5113313813958 0.6437208574987805 1.0412256162245324 0.6469498501186615 0.6812584103182929 0.6636610230123134 0.5473937933112384 0.6303296611373717
