Size k nRow nCol SimNum SSE SSR RSQ FSTAT Calinski-Harabasz Fowlkes-Mallows Mutual-Information Homogeneity Completeness V-measure Adjusted-Rand Adjusted-Mutual-Info
900 5 3 2 0 127113.51800947702 408942.20783491404 0.6891650810943157 496.0854701837467 396.42494779376017 nan 0.5567778172292677 0.5666236544963684 0.3499412257615959 0.43266980978840797 0.2511639295912101 0.3451704095470965
900 5 2 3 0 77411.57478881962 408942.207834914 0.8107028980973519 958.2543611395082 765.7469487005325 nan 0.6349389464591582 0.6461669540196804 0.40354053910314513 0.4968137556111135 0.2962976840015036 0.39908310545222275
900 5 3 2 1 119902.9881244984 392614.99330415006 0.6946041537654365 508.90567544145875 406.66965259858256 3.913456281856209 0.5505401816791566 0.5602757150823867 0.35066930893221626 0.4313575301253181 0.2633378372501542 0.3458160825818458
900 5 2 3 1 70853.4685982414 392614.9933041501 0.8195344808359043 1016.0990361837272 811.9709839984378 3.5917293952822504 0.6221550452721519 0.6331569874133435 0.3927204603028935 0.4847629784522576 0.2888514107917822 0.3882042612182848
900 5 3 2 2 141834.59266276905 431911.31289921614 0.6716117674466533 457.6081542196455 365.6774881540679 nan 0.5574766986447608 0.567334894652589 0.3498200322208915 0.43278426645748713 0.24453004482158852 0.34505511123575033
900 5 2 3 2 75412.42827865129 431911.3128992162 0.825398349090596 1057.7384557769597 845.2453000800921 7.0013526473741825 0.6573145136336648 0.6689382018164064 0.42210959962361805 0.5176037863217088 0.31870368956921397 0.41774086957078077
900 5 3 2 3 130399.84226299453 414043.4268920794 0.6850575717580869 486.6973069856866 388.9228088895677 6.4353859945816465 0.5531875874173667 0.5629699364897413 0.3506873232260861 0.43216735375309584 0.25376152130360957 0.34586074185891297
900 5 2 3 3 74636.55092421205 414043.4268920794 0.8197373848331468 1017.4946129936283 813.0861980033993 nan 0.6322798857837798 0.6434608715738884 0.40048357782742694 0.49369583254674004 0.29675784368204466 0.39600968123169517
900 5 3 2 4 126841.56252464518 428298.695933519 0.7038478899680477 531.7739095742363 424.943799025133 4.550007255894833 0.5622244050142087 0.5721665575714163 0.3477367656159345 0.4325744740960482 0.2348065997585113 0.34304703600316067
900 5 2 3 4 81561.54196972749 428298.69593351905 0.8095685493696027 951.213480345847 760.1205375903345 3.522094902042394 0.6239516912694382 0.6349854045832024 0.39586429074035406 0.48769097562163694 0.28651687716027624 0.3913642893203896
