Size k ClusType MeanSep SimNum Time SSE SSR RSQ FSTAT Calinski-Harabasz Fowlkes-Mallows Mutual-Information Homogeneity Completeness V-measure Adjusted-Rand Adjusted-Mutual-Info
120 5 A 2 0 1.373030662536621 118.69993582599491 1130.2398235395633 0.8949780981400361 245.00242202655247 245.00242202655235 0.6446509396557436 1.0480771334843064 0.6512069371468971 0.7045158345641062 0.6768132960088393 0.5433165961304879 0.6345356203884931
120 5 A 2 1 0.4749910831451416 123.69221580422516 1052.6950836497253 0.882499483729533 215.9297759919812 215.9297759919811 0.7583971225295786 1.2315635832464762 0.7652134784024505 0.8274944768866246 0.7951362645166208 0.6872877218858087 0.7540062480381672
120 5 A 2 2 0.438037633895874 136.23704129838157 1129.4633718047642 0.8793789646487703 209.5998028870708 209.59980288707084 0.8629762736682222 1.4171287212397623 0.8805115812740543 0.8946054271519122 0.8875025539599335 0.8287351686528124 0.8749725219111026
120 5 A 2 3 0.423891544342041 86.17722456546582 1095.5360045310272 0.9213378435678559 336.7370563432931 336.7370563432931 0.8696807100229333 1.418168247755863 0.8811574754139087 0.8884302532457021 0.8847789192393376 0.8378123051301871 0.8756682573312283
120 5 A 2 4 0.42195844650268555 180.9751106820798 1109.9065717199696 0.8369456355217078 147.57156055428706 147.57156055428698 0.7963989409490329 1.3144400878834506 0.8167075459875943 0.834548166439371 0.8255314787306648 0.7449759411265213 0.8081861445934508
120 5 A 2 5 0.46314311027526855 149.14659910073487 1189.6695308631345 0.8746319080791072 200.57469944697917 200.5746994469791 0.8727381397989825 1.4277884797597582 0.8871348616364971 0.8981313587013363 0.892599243245788 0.8412572783246197 0.8819114177083385
120 5 A 2 6 0.46819281578063965 158.70336702244362 1142.192127320649 0.8610537025896602 178.16447369118987 178.16447369118984 0.7919923108652839 1.3321790402101221 0.8277293767706428 0.9169062488958447 0.8700386794700818 0.7227650752042264 0.8194584124214553
120 5 A 2 7 0.46969032287597656 173.68623650406366 1146.8077024987065 0.8485480729457696 161.07921220741872 161.0792122074187 0.6578398275912098 1.0682281365670785 0.663727459328642 0.7346594421248706 0.697394468564461 0.549351445373975 0.6476785654368734
120 5 A 2 8 0.45499181747436523 125.36173455150336 1118.7500420472898 0.8879448224894867 227.82002771962593 227.8200277196256 0.7624418916377624 1.2426675390684943 0.7721127540664768 0.8095005653592716 0.7903647538386328 0.6974637230256117 0.761414838135452
120 5 A 2 9 0.43454742431640625 165.45846220510182 1075.625197457563 0.8461746130564873 158.150228702545 158.15022870254504 0.8154979354702419 1.342628415343062 0.834221938585057 0.8962825017030355 0.8641393904381948 0.7612763429210498 0.8263183928112581
120 5 A 2 10 0.4277069568634033 160.64448544399502 1066.959886109088 0.8494371835947632 162.20020063001442 162.20020063001445 0.5974084689339704 0.9707103283339535 0.6031362383317165 0.7044911378923545 0.649885651787723 0.4606011708314937 0.5836571094043429
120 5 A 2 11 0.4216451644897461 108.79716468874716 1074.2379712506995 0.8987215425255558 255.12083212888137 255.12083212888155 0.6343775356210869 1.0226669141616573 0.6354186801869136 0.6622156648738243 0.6485404850370686 0.5393526208599945 0.618242994273384
120 5 A 2 12 0.41768574714660645 106.34680693296025 1048.5021299174282 0.898572636241249 254.70407920078645 254.70407920078645 0.5787932828589963 0.9693967940751438 0.6023200936089771 0.6354099789046571 0.6184227182857196 0.46585268058320295 0.5835340714589121
120 5 A 2 13 0.510859489440918 200.2454505613456 1125.6129711804283 0.8221009745904504 132.85853008504847 132.8585300850485 0.8516770753223207 1.3874974938625608 0.8621006645507198 0.875899817402061 0.8689454606062489 0.8146465449944319 0.8557081403771675
120 5 A 2 14 0.4889233112335205 132.65488763601604 990.1694759743493 0.8660280983662109 185.84723755051147 185.84723755051155 0.7124210159592766 1.1819294568898766 0.7343740617507492 0.831050322832831 0.7797269636378691 0.6201781799524232 0.7215044563362721
120 5 A 2 15 0.5233232975006104 136.7198455461657 1084.2467828141114 0.8739033883122845 199.24978219240978 199.24978219240998 0.7346958896287323 1.20684515309431 0.7498550542214379 0.8473487702053228 0.795626391960116 0.6495689885955989 0.737853988162795
120 5 A 2 16 0.5119824409484863 118.57440768620891 1079.1819651146639 0.8901256585828783 232.91254677108708 232.9125467710871 0.6988054408779608 1.1562174384192907 0.7183982864369322 0.75654382655737 0.7369777889247289 0.6172681557296942 0.705114423523552
120 5 A 2 17 0.48685550689697266 203.4542049388921 1078.9384504646753 0.8114311295039408 123.71418947288986 123.71418947288983 0.6173810980989417 0.9905169865961096 0.6154428070468778 0.7253209467325277 0.6658795156248093 0.48327942305513955 0.5965162861672739
120 5 A 2 18 0.52685546875 80.3560704397494 1055.141286222998 0.923843307537142 348.76114275375727 348.761142753757 0.9667159182422175 1.5506802149417007 0.9634917898736866 0.9643249345765055 0.9639081821949907 0.9587260416509583 0.9618102928724103
120 5 A 2 19 0.5472941398620605 98.27591594147154 1124.29779408237 0.9125890698543241 300.1562357772224 300.15623577722255 0.8611351887231794 1.4007241763766851 0.870318864465074 0.8875099703837205 0.8788303551662162 0.8261697136027623 0.8642892546005162
120 5 A 2 20 0.5142393112182617 128.41269916809617 1043.9560887629566 0.8769941566026405 204.97873357833626 204.97873357833626 0.8290184555828611 1.363488142081516 0.8471828155330255 0.9301777253814254 0.886742522065107 0.7749190732991661 0.8398721320586927
120 5 A 2 21 0.4585144519805908 135.0331374093542 1081.0906991380448 0.8750954591349123 201.42577904596388 201.4257790459638 0.7397930676986874 1.2573466919121798 0.7812334245379988 0.8227153872622479 0.8014379943828741 0.6688629457860227 0.7709136535334236
