Size k ClusType MeanSep SimNum SSE SSR RSQ FSTAT Calinski-Harabasz Fowlkes-Mallows Mutual-Information Homogeneity Completeness V-measure Adjusted-Rand Adjusted-Mutual-Info
120 5 A 2 0 169.29527286228875 1130.2398235395633 0.8502129642431921 163.18917454029935 163.18917454029938 0.6428212552272851 0.9339245592283241 0.5802799548917451 0.7891668041550379 0.6687922323258482 0.4938340461631945 0.5614751238675174
120 5 A 2 1 152.16712966736526 1052.6950836497253 0.8554499474436631 170.14304425396168 170.14304425396165 0.6867144415262532 1.0715978052665154 0.6658211522094941 0.7857764744668002 0.720842453850704 0.5793531293418204 0.649760023109404
120 5 A 2 2 139.51427570780052 1129.4633718047644 0.8764773792665173 204.0008907217256 204.0008907217256 0.8150522484790593 1.3494464181747619 0.8384582019283183 0.8666335283275644 0.852313077353648 0.7667276529012023 0.8308996805730309
120 5 A 2 3 128.42655788803958 1095.5360045310272 0.8827728551532034 216.5003644746546 216.50036447465456 0.7448605017998042 1.2341322929002074 0.7668095074470542 0.852968141509097 0.8075973648360004 0.6614114464294044 0.7556064553596924
120 5 A 2 4 300.4236360978672 1109.9065717199696 0.7293252929998288 77.46605660399521 77.4660566039952 0.6956168932000524 1.1125811374950447 0.6912855282577423 0.8242080220579086 0.7519175225838454 0.587671968495883 0.6761149741614791
120 5 A 2 5 586.954468880543 1189.6695308631345 0.5066239374436251 29.521979899136113 29.521979899136106 0.6241801231395993 0.9282817970540689 0.5767739096254688 0.6983134264342841 0.6317511808298356 0.4966445527935417 0.5558810311126945
120 5 A 2 6 96.6393713973545 1142.1921273206488 0.9153913171998034 311.0496405155381 311.04964051553833 0.9511047346031084 1.5170823517115821 0.942616263722258 0.9428197277694692 0.9427179847676023 0.9393849067851928 0.9399739841898087
120 5 A 2 7 583.2935950922723 1146.8077024987065 0.4913762840785156 27.77508740752093 27.775087407520935 0.5260598080118644 0.8626382612531067 0.5359872876043165 0.5827603553747611 0.5583960675329661 0.3916527718091964 0.5137891360973591
120 5 A 2 8 154.13044145677358 1118.7500420472898 0.8622297781775113 179.93079922991785 179.93079922991785 0.6639232541732307 1.0593362749407595 0.6582026350669399 0.7184446433240569 0.6870055457318291 0.5678060872967237 0.6418669583570247
120 5 A 2 9 186.26023928435652 1075.625197457563 0.8268353700483991 137.2769768025697 137.27697680256966 0.7893414564999764 1.297190676098836 0.8059898838452091 0.905741913778091 0.8529593489977286 0.7176575899051948 0.7966612925548772
120 5 A 2 10 178.02380432217063 1066.9598861090883 0.8331485497815903 143.55896082932477 143.55896082932483 0.6501292508672277 0.9764893303488902 0.606726934170487 0.7355645940214336 0.6649626279264921 0.5306036058571126 0.5895291999233455
120 5 A 2 11 154.75727718015094 1074.237971250699 0.8559376215309423 170.81632887450937 170.8163288745094 0.6378963404426209 0.9531691966965328 0.592237320453678 0.7281548991720336 0.6532006171364839 0.5110254228441827 0.5721709009471729
120 5 A 2 12 94.468689709123 1048.5021299174282 0.9099012896458659 290.3444674679335 290.34446746793355 0.6461049644696767 0.9719011908559597 0.6038761628188967 0.7008605057282524 0.6487637897718732 0.5373901620005764 0.5868330053785217
120 5 A 2 13 129.50526456195868 1125.6129711804278 0.8849468974880887 221.13461303791058 221.1346130379108 0.9496559840553505 1.5051674656231433 0.9352131287542127 0.9354149948321753 0.9353140509011538 0.9375889040232726 0.9322299660156341
120 5 A 2 14 185.0602766386396 990.1694759743493 0.8131024222327838 125.07756878641077 125.07756878641082 0.6534431035804383 1.0705763485590734 0.6651864854730202 0.7310164807855258 0.6965495639643763 0.5475163475600532 0.6491767354613948
120 5 A 2 15 197.09855781104105 1084.2467828141116 0.8182161469739565 129.40486095941148 129.40486095941145 0.6004341994002915 1.0552680956652771 0.6556749331630313 0.7179837914494496 0.6854162042374295 0.4809029065338017 0.6392499715410679
120 5 A 2 16 156.3940880534642 1079.181965114664 0.8550808917226047 169.63653674965008 169.63653674965013 0.6848825416328935 1.120411938525039 0.6961510785032631 0.7675727011636843 0.7301193998041704 0.5876201947339734 0.6815675737964614
120 5 A 2 17 221.15575079308078 1078.938450464675 0.7950246831060346 111.51079059495976 111.51079059495977 0.515612243139457 0.7866176778181904 0.4887530433705992 0.5681425744797405 0.5254661059342215 0.3649356555995825 0.46437105445825577
120 5 A 2 18 509.0143939569073 1055.1412862229981 0.5175865065625629 30.846177120050868 30.846177120050854 0.766928898924811 1.243457807166923 0.7726037752436986 0.8813723500992094 0.8234116498397253 0.685655219937981 0.7617147552918058
120 5 A 2 19 126.29130872700273 1124.29779408237 0.8876709450185489 227.1944660577577 227.19446605775764 0.7377671864949066 1.2396256097268346 0.7702226970980418 0.8332744252136828 0.8005089205094739 0.6610906750364216 0.7592399952941827
120 5 A 2 20 145.9780500360164 1043.9560887629564 0.8601684001776414 176.85445590641788 176.85445590641783 0.8224755018387211 1.332179040210122 0.8277293767706427 0.9587151581638174 0.8884201942453457 0.7571396595083543 0.8198122941337973
120 5 A 2 21 198.95515444376684 1081.0906991380448 0.815968119416443 127.47293218346198 127.47293218346192 0.636160751273054 1.0053163260903986 0.6246381536830873 0.7613941098559256 0.6862694664714727 0.5072432758989591 0.606076490834952
120 5 A 2 22 139.492211023294 1060.9362666043585 0.8685197071547437 189.91394862564587 189.9139486256458 0.6240987150638626 0.9679159488882899 0.6013999927617103 0.6659467940175201 0.6320296879745626 0.50848612136005 0.5822874062769955
