SIM_2_60,ARISEL,00:04.4
SIM_2_60,AZP-TABU,00:02.3
SIM_2_60,AZP,00:00.9
SIM_2_60,AZP-SA,00:03.1
SIM_2_61,ARISEL,00:04.5
SIM_2_61,AZP-TABU,00:01.5
SIM_2_61,AZP,00:01.0
SIM_2_61,AZP-SA,00:02.7
SIM_2_62,ARISEL,00:05.3
SIM_2_62,AZP-TABU,00:02.5
SIM_2_62,AZP,00:00.8
SIM_2_62,AZP-SA,00:03.1
SIM_2_63,ARISEL,00:05.5
SIM_2_63,AZP-TABU,00:03.5
SIM_2_63,AZP,00:01.0
SIM_2_63,AZP-SA,00:02.9
SIM_2_64,ARISEL,00:04.2
SIM_2_64,AZP-TABU,00:02.8
SIM_2_64,AZP,00:00.7
SIM_2_64,AZP-SA,00:02.4
SIM_2_65,ARISEL,00:04.8
SIM_2_65,AZP-TABU,00:02.6
SIM_2_65,AZP,00:00.9
SIM_2_65,AZP-SA,00:02.8
SIM_2_66,ARISEL,00:05.1
SIM_2_66,AZP-TABU,00:02.5
SIM_2_66,AZP,00:00.9
SIM_2_66,AZP-SA,00:05.1
SIM_2_67,ARISEL,00:04.4
SIM_2_67,AZP-TABU,00:01.6
SIM_2_67,AZP,00:00.8
SIM_2_67,AZP-SA,00:05.5
SIM_2_68,ARISEL,00:04.8
SIM_2_68,AZP-TABU,00:02.1
SIM_2_68,AZP,00:00.8
SIM_2_68,AZP-SA,00:03.1
SIM_2_69,ARISEL,00:05.0
SIM_2_69,AZP-TABU,00:02.7
SIM_2_69,AZP,00:00.8
SIM_2_69,AZP-SA,00:02.8
SIM_3_60,ARISEL,00:03.8
SIM_3_60,AZP-TABU,00:01.7
SIM_3_60,AZP,00:00.7
SIM_3_60,AZP-SA,00:02.6
SIM_3_61,ARISEL,00:04.4
SIM_3_61,AZP-TABU,00:02.0
SIM_3_61,AZP,00:00.8
SIM_3_61,AZP-SA,00:04.7
SIM_3_62,ARISEL,00:04.1
SIM_3_62,AZP-TABU,00:03.8
SIM_3_62,AZP,00:00.8
SIM_3_62,AZP-SA,00:02.9
SIM_3_63,ARISEL,00:03.9
SIM_3_63,AZP-TABU,00:02.4
SIM_3_63,AZP,00:01.1
SIM_3_63,AZP-SA,00:02.5
SIM_3_64,ARISEL,00:04.1
SIM_3_64,AZP-TABU,00:03.3
SIM_3_64,AZP,00:00.8
