Size k ClusType MeanSep SimNum SSE SSR RSQ FSTAT Calinski-Harabasz Fowlkes-Mallows Mutual-Information Homogeneity Completeness V-measure Adjusted-Rand Adjusted-Mutual-Info
120 5 A 2 0 90.26628289222676 1130.2398235395633 0.9201352836696723 331.2337490323939 331.2337490323941 0.6645778796678865 1.0739326413499435 0.6672718674345983 0.743956013333033 0.7035304858573314 0.5665038486341122 0.6516019154986487
120 5 A 2 1 127.46812134973743 1052.6950836497253 0.8789125898566927 208.68178556692476 208.68178556692476 0.635090768852749 1.0430927767893006 0.6481099822059839 0.7078845058594558 0.6766797631323745 0.5261920171868699 0.6313175607775573
120 5 A 2 2 154.8615942672804 1129.4633718047644 0.8628892285193562 180.93447401711765 180.93447401711768 0.7847877741203718 1.26220231198755 0.7842503909197753 0.916674170433299 0.8453074202614766 0.7059741475721085 0.7743207220111219
120 5 A 2 3 115.4135501096628 1095.5360045310274 0.8946510661152861 244.15261932277247 244.15261932277244 0.7285829819713352 1.229393791556628 0.7638653110248307 0.8236949634202912 0.792652750954656 0.6505893321829643 0.7525828708271483
120 5 A 2 4 112.18937023695266 1109.9065717199694 0.8989199874156091 255.67814029130486 255.6781402913049 0.8145633366401904 1.3155144522203797 0.8173750860825734 0.8203486088331455 0.8188591480288971 0.7697792269751053 0.808954574426652
120 5 A 2 5 180.28003035558078 1189.6695308631345 0.8484620933136086 160.97150684051806 160.971506840518 0.7451400411720597 1.2523956622557944 0.7781571768504458 0.8421978653815984 0.808911992981554 0.6695105058955682 0.7675698702789993
120 5 A 2 6 90.52983414294737 1142.1921273206488 0.9207402747948265 333.981512449445 333.98151244944444 0.8847409205004347 1.4340221210717383 0.8910080407531444 0.8941088297001718 0.8925557421558982 0.8569109601394816 0.8859825747419574
120 5 A 2 7 96.81727843517649 1146.8077024987065 0.9155767107037847 311.79584036787645 311.7958403678759 0.6622249928465678 1.0847608165892484 0.6739997909883119 0.6886517788410161 0.681247011751814 0.5770343878954608 0.6588716935593184
120 5 A 2 8 104.73814867660644 1118.7500420472898 0.9063793119641472 278.34024472229856 278.34024472229873 0.6593185568292956 1.0851547726458133 0.674244569648937 0.7038318912369201 0.6887206103312737 0.5697548212732618 0.6589211349363427
120 5 A 2 9 109.12200887149102 1075.6251974575632 0.8985501556402538 254.64126768939198 254.64126768939215 0.8751776641656966 1.4302303179978537 0.8886520610383694 0.8982875895614261 0.893443846971562 0.8444571883948953 0.8835011061373148
120 5 A 2 10 100.942012328037 1066.9598861090883 0.9053928703016709 275.1383019881722 275.138301988172 0.6777554005647557 1.1028283403864625 0.6852257747045081 0.7284363459774347 0.7061706643940134 0.5898961878949566 0.6702602381261762
120 5 A 2 11 107.73731263883714 1074.2379712506995 0.8997081507802204 257.91337517615443 257.9133751761544 0.6290831031122708 1.0266810548615792 0.6379128060360126 0.6842553477160545 0.6602719142311869 0.5250807934473728 0.6206944366908002
120 5 A 2 12 64.7674000210891 1048.5021299174282 0.938228642390846 436.6760665907641 436.6760665907638 0.5186925883123478 0.8770223530193494 0.5449246263205944 0.5610080704900349 0.5528493986229736 0.39616352728186705 0.5236982862061632
120 5 A 2 13 318.93018663148985 1125.6129711804283 0.7166608818508654 72.71851655290159 72.71851655290156 0.7700559610829266 1.3034954419045057 0.8099072550944885 0.8830847122334341 0.8449144817027399 0.6969593463490851 0.8008653332327875
120 5 A 2 14 100.415518415458 990.1694759743493 0.8985875439993272 254.74574730553076 254.74574730553073 0.7182010392511363 1.2127168608737668 0.75350335139034 0.7746682400228133 0.7639392308465367 0.6463014759042743 0.7420031974826747
